[descriptive data]				
title	US 4,448,497 Example 1		
[variable distances]				
Focal Length	100			
Angle of View	46			
F-Number	1.4			
Image Height	86.53
Total Length	81.8217			
Magnification	0			
d0	Infinity			
Bf	74.1			
[lens data]				
1	78.3607	9.8837	1.79668	76.0
2	469.477	0.1938		76.0
3	50.297	9.1085	1.77279	64.0
4	74.376	2.9457		62.0
5	138.143	2.3256	1.67270	60.0
6	34.326	16.0698		51.0
7	AS	13.0		49.6
8	-34.407	1.9380	1.7400	48.8
9	-2906.977	12.4031	1.77279	57.0
10	-59.047	0.3876		60.0
11	-150.021	8.3333	1.78797	66.8
12	-57.890	0.1938		67.8
13	284.630	5.0388	1.78797	66.0
14	-253.217	Bf		66.0
[figure]				
source	Nikon/US004448497/Figure02.png
ppmm	9.655140385			
originX	405			
originY	599			
