[descriptive data]				
title	US 4,448,497 Example 7			
[variable distances]				
Focal Length	100			
Angle of View	46			
F-Number	1.4			
Image Height	86.53			
Total Length	81.8217			
Magnification	0			
d0	Infinity			
Bf	72.4783	74.1			
[lens data]				
1	78.899	9.8837	1.79668	76
2	469.364	0.1938		76
3	49.769	9.1085	1.77279	64
4	73.514	2.9457		62
5	131.329	2.3256	1.6727	60
6	34.200	16.0698		51
7	AS	13		49.6
8	-34.244	1.938	1.74	48.8
9	-775.194	12.4031	1.77279	57
10	-58.357	0.3876		60
11	-175.000	8.3333	1.78797	66.8
12	-59.136	0.1938		67.8
13	347.140	5.0388	1.78797	66
14	-246.935	Bf		66
[figure]				
source	Nikon/US004448497/Figure02.png			
ppmm	9.655140385			
originX	405			
originY	599			
